name,local_date,yes_rsvp_count,description
Community Detection with Lucia Gjeltema,2/20/2014,31,"<p>Network graph analysis is a hot topic in social media, fraud detection, and academia. In many applications, networked individuals end up on one large ""clump"", making further analysis nearly impossible. Community detection is one way to break a huge graph into small meaningful groups for real-world analyses.<br/>We will introduce various structural definitions of graph communities and give an overview of algorithms that capture them. We'll conclude the presentation with a review of performance metrics that compare detected communities with ground-truth information.</p> <p>Please join us at the after party at<br/>Cameron Bar and Grill<br/>2018 Clark Avenue<br/>Raleigh, NC 27605<br/><a href=""http://www.cameronbarandgrill.com/""><a href=""http://www.cameronbarandgrill.com/"" class=""linkified"">http://www.cameronbarandgrill.com/</a></a></p> <p>Note: The <b>discussion of our new mission statement is postponed</b> to our meeting on March 20th, 2014. Please share your thoughts (on how you would like us to serve you and what you envision the Research Triangle Analysts to become in the future) during the next regular meeting.</p> <p><a href=""http://www.cameronbarandgrill.com/""><br/></a></p> "
Lunch! Starting a non-profit organization  (part II),3/7/2014,8,"<p>The first Friday of the month is coming up - are you up for lunch with RTA? During our lunch, we will brainstorm some more on creating a not-for-profit organization.</p> "
Random Forests and Boosted Trees with Dan Kelly,3/20/2014,42,"<p>Program: Random Forests and Boosted Trees</p> <p>Presenter: Dan Kelly</p> <p>One of the most-used predictive modeling techniques, the decision tree has a lot of great interpretation as well as predictive properties. But single decision trees can overfit your data and give misleading results. How do you decide when the tree has enough ""branches""? Enter the random forest. </p> <p>MetLife has generously provided space for this event. </p> <p>Please join us at the after party at <a href=""http://www.mezdurham.com"">MEZ Contemporary Mexican Restaurant</a> across the street.</p> <p>We will have a discussion on our new mission statement at this meeting. Please share with us how you would like us to serve you and what you envision the Research Triangle Analysts to become in the future.</p> "
Lunch! Starting a non-profit organization (part III),4/4/2014,6,<p>Let us get together for our monthly lunch. I will briefly present the status of the paperwork for our organization that has been filed so far and will spend the rest of the time enjoying your delightful company.</p> 
"April Meetup: Have an Idea, Need an Idea (Small Groups Version)",4/17/2014,14,"<p>Have an Idea, Need an Idea!</p> <p>1) Come in with an idea you'd like to discuss--either a problem that you're stuck on, or a great idea where you'd like some feedback. </p> <p>2) Be ready to present to a small group of about 4-6 people while you enjoy the great food and craft beer at Mattie B's. This is a sit down presentation. You can bring your laptop and show some code if you want, but this is mostly a chance to ""think out loud"" with some interested folks.  </p> <p>3) We want to seat you together by your interests, so try to get there at 6:30pm. Otherwise, you may be stuck sitting with Melinda. She'll talk your ear off about software development and mission statements. You don't want that. ;-)</p> <p>One of the biggest interest areas from the Feedback survey was ""Want to connect with peers,"" but the social events got the most votes for ""least favorite"" meetings. This is a chance to find people who are interested in some of your favorite topics!</p> "
Lunch!,5/2/2014,14,NA
Presentation: Covering Arrays,5/15/2014,25,"<p>Software (and analytical model) testing may require considering hundreds or thousands of parameters. Usual ""test all"" or ""full factorial"" methods can require too many runs  to be practical. </p> <p>Covering arrays make it possible to consider ""full coverage"" of a software suite with a smaller number of runs. </p> <p><a href=""http://math.nist.gov/coveringarrays/coveringarray.html"" class=""linkified"">http://math.nist.gov/coveringarrays/coveringarray.html</a></p> <p>Joseph Morgan, Senior Software Developer for JMP at SAS Institute, will present his research on this important field.</p> "
Lunch!,6/6/2014,10,NA
Presentation: Introduction to Julia,6/19/2014,37,"<p>Mason DeCamillis from the Triangle Julia users group will present an Introduction to the Julia language.</p> <p>Julia is a relatively new programming language that aims to blend the good parts of Matlab, C, R, and Python (with fewer of the bad parts). Its growth in popularity make it an increasingly promising option for programmers doing technical, computationally-intensive work. This presentation will explore the advantages of Julia in a data analysis context, with examples from both the base library and several user-written packages. Additional information is available at <a href=""http://julialang.org/""><a href=""http://julialang.org/"" class=""linkified"">http://julialang.org/</a></a> and <a href=""http://julia.readthedocs.org/en/latest/packages/packagelist/""><a href=""http://julia.readthedocs.org/en/latest/packages/packagelist/"" class=""linkified"">http://julia.readthedocs.org/en/latest/packages/packagelist/</a></a>. </p> <p>Mason DeCamillis is a statistical programmer and data analyst with a Master’s degree in Applied Statistics and a knack for crashing his computer by testing out experimental software. He is cautiously enthusiastic about Julia, and is excited to share with Research Triangle Analysts.</p> "
Lunch!,7/11/2014,6,<p>Who is up for some delicious Asian food to finish a long work week?</p> 
Statistics Without Borders with Brian Fannin,7/17/2014,32,"<p>Brian Fannin will share his experience as part of 'Statistics Without Borders' (<a href=""https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fcommunity%2Eamstat%2Eorg%2Fstatisticswithoutborders%2Fhome%2F&amp;urlhash=DoWU""><a href=""http://community.amstat.org/statisticswithoutborders/home/"" class=""linkified"">http://community.amstat.org/statisticswithoutborders/home/</a></a>). The team spent a week in Africa teaching R and statistical modeling to members of the Rwandan Biomedical Center.</p> <p>If time and interest permits, Brian may also talk about the second annual 'R in Insurance' conference, where he will have spoken earlier in the week.</p> <p>Brian is not a proper statistician (he's an actuary), but he loves R, loves to travel and loves to try and make the world a better place through data. He especially loves doing all three at once.</p> "
Lunch!,8/1/2014,10,NA
Presentation by Blue Cross Blue Shield Information Scientist,8/21/2014,31,"<p><b>Utilization and Substitution of Urgent Care, Emergency Departments, and Primary Care Physicians</b></p> <p>At Blue Cross Blue Shield we are always looking to reduce healthcare costs. One driver of high costs is that many individuals receive medical care at emergency rooms when urgent care centers and primary care offices may be more appropriate sites of care.  Laurel will review some of our analysis in this area, including why this is important to explore, as well as discuss several modeling approaches being considered.</p> <p>Presenter: Laurel Trantham, Informatics Scientist BCBS</p> <p><b>Location: Blue Cross Blue Shield of North Carolina</b> (big glass building on 15-501 near intersection with I-40)</p> <p>Address: 1830 Durham Chapel Hill Blvd. Chapel Hill, NC</p> <p>Driving Directions from I-40:<br/><i>From Raleigh</i> – take I-40 to exit 270.  Turn left onto US 15/501(Durham-Chapel Hill Blvd.) headed toward Chapel Hill.  Drive over the overpass through the first light. Get in the far left turning lane to turn left at the next light onto East Lakeview Drive (the entrance to Red Roof Inn will be on your left, there is no street sign on the left to indicate the street name).  Take that 1st right on West Lakeview Drive, then turn right into BCBSNC employee parking lot, parking in any of the vacant spaces.</p> <p><i>From Greensboro</i> – take I-40 to exit 270.  Turn right onto US 15/501(Durham-Chapel Hill Blvd.) headed toward Chapel Hill.  Immediately get in the far left turning lane to turn left at the 1st light onto East Lakeview Drive (the entrance to Red Roof Inn will be on your left, there is no street sign on the left to indicate the street name).  Take that 1st right on West Lakeview Drive, then turn right into BCBSNC employee parking lot, parking in any of the vacant spaces.</p> "
Lunch!,9/5/2014,8,"<p>Topic: Q&amp;A about prediction, modeling, and life in the analytics field. </p> <p>We never have lunch near NCSU, and now that the students are back in town, it seems like a great idea to try it. </p> <p>Street parking on Hillsborough is pretty easy if you're only staying an hour. There is also parking on the side streets nearby.  </p> "
Webinar this Thursday (9/11) on R and Neo4j graph database.,9/11/2014,1,"<p><a href=""http://info.neo4j.com/0911-register.html"" class=""linkified"">http://info.neo4j.com/0911-register.html</a><br/>This is a free webinar, presented by Neo4j.</p> "
Presentation: Improved Inference in Generalized Linear Mixed Models,9/18/2014,25,"<p>In small samples it is well known that the standard methods for estimating variance components in a generalized linear mixed model (GLMM), pseudo-likelihood and maximum likelihood, yield estimates that are biased downward. An important consequence of this is that inferences on fixed effects will have inflated Type I error rates because their precision is overstated. We introduce a new method for estimating parameters in GLMMs that applies a Firth bias adjustment to the maximum likelihood-based GLMM estimating algorithm. We apply this technique to one- and two-treatment logistic regression models with a single random effect. We show simulation results that demonstrate that the Firth-adjusted variance component estimates are substantially less biased than maximum likelihood estimates and that inferences using the Firth estimates maintain their Type I error rates more closely than the standard methods.</p> "
Lunch,10/3/2014,5,<p>Join us for a casual Friday lunch to celebrate the end of the week.</p> 
Raleigh Tableau User Group Tonight!,10/15/2014,5,"<p>Sorry for the late notice here on MeetUp. There will be a Tableau User Group tonight at BCBS NC from 6-8pm (Link to details below). Hope you can join us!</p> <p><a href=""http://www.tableausoftware.com/learn/usergroups/raleigh-user-group/10-15-2014"" class=""linkified"">http://www.tableausoftware.com/learn/usergroups/raleigh-user-group/10-15-2014</a></p> "
“How to Build Effective Machine Learning Applications” with Steve Geringer,10/16/2014,38,"<p>Machines are getting smarter every day. How do they it? What will be left for the humans once the machines completely take over? Learn how you can contribute to the subjugation of mankind by building your own machine learning applications. While we won’t cover sci-fi or philosophical aspects, we will cover many important technical considerations for building effective ML applications.</p> <p>Steve Geringer is a triangle area software consultant and ML enthusiast.</p> "
Lunch,11/7/2014,13,<p>Join us for a casual Friday lunch to celebrate the end of the week.</p> 
Plan Next Year!!,11/20/2014,14,<p>November is planning month at Research Triangle Analysts. Come have a beer and talk about what you want to do next year.</p> 
1st Lunch of the New Year,1/2/2015,14,"<p>After everyone has had a ResearchTriangleAnalysts-event-free December, it is time to gather for a lunch feast at the beginning of the New Year 2015 and tell the tales of the Christmas season.</p> "
Solr 5 for Data Science with Grant Ingersoll,1/15/2015,47,"<p>Search engine technology is rapidly evolving from keyword based looks up to a highly sophisticated ranking engine capable of incorporating many different features across complex data types. With the pending release of Apache Solr 5, it is now possible to ask more interesting questions of multi-structured content than ever before. In this talk, we'll explore how Solr 5 provides a number of new and interesting features -- ranging from incredibly easy data ingest to advanced faceting and statistical capabilities -- for analysts and why Solr should be in every analysts toolbox.</p> <p>Bio:<br/>Grant is the CTO and co-founder of LucidWorks, co-author of “Taming Text” from Manning Publications, co-founder of Apache Mahout and a long-standing committer on the Apache Lucene and Solr open source projects. Grant’s experience includes engineering a variety of search, question answering and natural language processing applications for a variety of domains and languages. He earned his B.S. from Amherst College in Math and Computer Science and his M.S. in Computer Science from Syracuse University.</p> "
Lunch,2/6/2015,29,NA
Learn about IBM's Watson,2/17/2015,1,"<p>This is a .Net user group SIG meeting (cross post)</p> <p>F#/Analytics -&gt; Intro to IBM's Watson<br/><a href=""http://www.meetup.com/TRINUG/events/218996919/"" class=""linkified"">http://www.meetup.com/TRINUG/events/218996919/</a></p> <p>In this meetup, we are going to take a closer look at IBM's offering the Machine learning space -&gt; IBM's Watson. Rich Y Edwards from IBM will give a run through of it and answer any questions you have. This will be a developer/API focused talk.</p> "
PySpark Presented by Tim Hopper,2/19/2015,86,"<p>Apache Spark is a next generation cluster computing framework and data processing engine. By combining Spark's primitive operations in a functional style, the user can perform complex computations on large datasets. Though similar to Hadoop, Spark relies much more heavily on RAM (instead of HDFS) and has been demonstrated as running up to 100x faster than Hadoop for some applications. This talk will introduce Spark in general and then show PySpark, the Python wrapper around core Spark, as a tool for rapid, interactive analytics as well as robust, production data pipelines. Finally, we will look at MLlib, Spark's distributed machine learning library.</p> <p>Bio:Tim Hopper is a software engineer at Parse.ly, a web analytics startup. He has a masters in operations research from North Carolina State University.</p> "
Lunch,3/6/2015,8,"<p>Monthly lunch! Get together and discuss analytics, work, or anything that's on your mind with your fellow analysts!</p> "
Analytics Forward - An Unconference,3/14/2015,50,"<p>We have found the perfect day to hold an event for everyone on the data science track: This year's Pi day - a truly amazing date 3/14/15.</p> <p>""Analytics Forward"" is for you - calling yourself “Data Ninja”, “Data Scientist”,or “Statistics Guru”, or building models, establishing metrics, and cleaning data for so long you don’t care what we call you?</p> <p>In addition to RSVPing through Meetup, please register here:</p> <p>http:\\analyticsforward.org\register\</p> <p>Analytics Forward is an unconference by and for analytics professionals. Spend a Saturday at the Blue Cross and Blue Shield of North Carolina (thanks to our amazing sponsor) campus learning about the latest techniques, trends, and tools in analytics. Pitch a talk to share your knowledge, or just attend and connect with your peers in the Research Triangle.</p> <p>Please register through the event website analyticsforward.org/register/</p> "
"Have an Idea, Need an Idea",3/19/2015,15,"<p>Hey, everybody! How about an un-meeting to match March's un-conference?</p> <p>This is have an idea/need an idea. Come with a question about analytics, something cool you've done, or a problem that has you stumped. Get some feedback from your fellow analysts about where you can look for more resources or go next!</p> <p>We'll be sitting at tables of 6 or so, so use this discussion board here to get the conversation started about what we should discuss! </p> "
Lunch,4/10/2015,25,<p>What a good (Fri)day to meet!</p> 
Functional Modeling of Longitudinal Data with Rajesh Selukar,4/16/2015,46,"<p><b>ABSTRACT</b></p> <p>In many studies, a continuous response variable is repeatedly measured over time on one or more subjects. The subjects might be grouped into different categories, such as cases and controls. The study of resulting observation profiles as functions of time is called functional data analysis. This paper shows how you can use the SSM procedure in SAS/ETS® software to model these functional data by using structural state space models (SSMs). A structural SSM decomposes a subject profile into latent components such as the group mean curve, the subject-specific deviation curve, and the covariate effects. The SSM procedure enables you to fit a rich class of structural SSMs, which permit latent components that have a wide variety of patterns. For example, the latent components can be different types of smoothing splines, including polynomial smoothing splines of any order and all L-splines up to order 2. The SSM procedure efficiently computes the restricted maximum likelihood (REML) estimates of the model parameters and the best linear unbiased predictors (BLUPs) of the latent components (and their derivatives). The paper presents several real-life examples that show how you can fit, diagnose, and select structural SSMs; test hypotheses about the latent components in the model; and interpolate and extrapolate these latent components.</p> "
Lunch,5/1/2015,20,<p>Join us for our First Friday lunch for casual networking and news from our latest board meeting.</p> 
Cyber Security Mini-Hackathon,5/21/2015,33,"<p>This is a joint meetup with the Big Data and Cyber Security Meetup. Bring your laptops and be ready to work with security experts to understand network data and develop ways to analyze it!</p> <p>We will be working with one of the data sets from this site: <a href=""http://www.netresec.com/?page=PcapFiles"" class=""linkified"">http://www.netresec.com/?page=PcapFiles</a></p> <p>(Suggestions for which data set from this list are welcome!)</p> <p>If you don't have it already, you will probably want the free program WireShark on your laptop: <a href=""https://www.wireshark.org/download.html"" class=""linkified"">https://www.wireshark.org/download.html</a></p> <p>Also have your analytics program of choice loaded up and ready to go!</p> "
Lunch,6/5/2015,15,<p>Get out of your office for some stretching and join us for our First Friday lunch for casual networking and a chat about what everyone used during the Cyber Security Hackathon.</p> 
Working with Geospatial Data by Ian Cook,6/18/2015,67,"<p>Our own Ian Cook will talk about working with Geospatial data for analysis, including:</p> <p>• What spatial data is </p> <p>• Where you can find spatial data to work with </p> <p>• The challenges of working with spatial data  </p> <p>• Key facilities R provides for loading, manipulating, and analyzing spatial data. </p> <p>Demonstrations will be in R and Spotfire, with an open discussion for others to talk about how they work with spatial data using their preferred tools.</p> "
Lunch,7/3/2015,22,<p>Our monthly lunch to exchange ideas and talk about math (optional).</p> 
Python Data Science with Pandas by Chris Calloway,7/16/2015,90,"<p>Pandas is a software package providing R-like ""data frame"" wrangling in Python. We will interactively explore:</p> <p>* Data input and output</p> <p>* Data transformation</p> <p>* Data analysis</p> <p>* Data Visualization</p> <p>with Pandas using some interesting data to answer contemporary social questions.</p> "
Lunch,8/7/2015,19,NA
Lucia Gjeltema presents SparkR - distributed computing in R using Spark clusters,8/20/2015,76,"<p>Data processing and machine learning tasks in R are usually limited to data sets that fit in the memory of one single machine. The new R frontend to Apache Spark, called SparkR, harnesses Spark’s distributed computing powers to run large-scale data analysis directly in R. Originally an R package, SparkR is now officially merged into Apache Spark (since release 1.4 in June 2015).<br/>This talk introduces SparkR and one of its core components - the SparkR DataFrame, a way of bringing distributed computing capabilities to the world of data frames.</p> "
Lunch,9/4/2015,12,<p>Our monthly lunch to discuss news in the data science-statistics-computer science-biotech fields.</p> 
Danny Siegle Presents: Machine Learning for Life Sciences,9/17/2015,60,"<p>Doors at 6:30pm. </p> <p>Presentation starts at 7:00. </p> <p>After Party: Serena's: 5311 S Miami Blvd, Durham, NC 27703</p> <p>This presentation will cover machine learning from different biological domains, together with working code examples. Including:</p> <p>1. QSAR prediction for drug discovery 2. </p> <p>A Next-Gen Sequencing application </p> <p>3. Diagnostic image analysis by ConvNets in Python with Thean (Code example from the recent Kaggle diabetic retinopathy competition)  </p> <p>The goal of this talk is not to cover technical details of every method but to to help biologists to see the value of machine learning and statisticians to understand opportunities in the biological sciences. </p> <p>The presentation notebook will be on github, so that anyone interested in taking a deeper dive can run the code and see the results.</p> "
Lunch,10/2/2015,24,"<p>Change of venue - we are too many for the original restaurant we picked - we'll meet at ""Baba Ghannouj"" on S Miami Blvd in Durham!</p> <p>Discussing the round pegs and square holes of ETL, EDA, etc.</p> "
Melissa Nysewander: Applied Data Science: Case Study in Workforce Analytics,10/15/2015,111,"<p>Doors open at 6:30 pm. </p> <p>Presentation starts at 7:00pm. </p> <p>Abstract: Data science is more than a single algorithm or technology, it is a methodology tying together scientific reasoning, hypothesis testing, machine learning, and statistics.  It’s about knowing enough programming to grab and manipulate data at the finest grain, and enough statistics to extract real (not spurious) insights.  But it’s also about being able to ask the right questions, design meaningful tests, and in the end, communicate results to the people making decisions.  This talk is a practical explanation of what it takes to successfully execute an enterprise-level data science project, from beginning to end, emphasizing both the soft and hard skills necessary to do so.  To illustrate, I will present a recent case study in workforce analytics in which we performed text analysis using Python &amp; R on scraped web data.</p> <p>After Party: </p> <p>Serena (<a href=""http://www.serena-rtp.com/""><a href=""http://www.serena-rtp.com/"" class=""linkified"">http://www.serena-rtp.com/</a></a>), 5311 S Miami Blvd, Durham, NC 27703.  Close by, good beer and tasty food.</p> <p><img src=""https://ssl.gstatic.com/ui/v1/icons/mail/images/cleardot.gif"" /></p> "
Lunch!,11/6/2015,30,"<p>This is a completely gluten-free restaurant--and it's delicious!</p> <p><a href=""http://primalfoodandspirits.com/""><a href=""http://primalfoodandspirits.com/"" class=""linkified"">http://primalfoodandspirits.com/</a></a></p> "
Planning Meeting,11/18/2015,16,"<p>Even if you're not planning to come, please take the survey: <a href=""https://www.surveymonkey.com/r/22FPYQJ"" class=""linkified"">https://www.surveymonkey.com/r/22FPYQJ</a></p> <p>Let us know what we can do better next year!</p> <p>Note: This is on a Wednesday, not our usual Thursday.</p> "
Lunch!,12/4/2015,16,<p>This is out last lunch of the year! No business meeting. Just come celebrate. </p> 
Presentation: Topological Data Analysis with Hamza Ghadyali,1/19/2016,68,"<p>""Data has shape-- and shape has meaning."" [1] Topology is the mathematical study of shape and in the past decade TDA tools have been applied to large, noisy, complex datasets to understand problems in many science and engineering disciplines including oncology, astronomy, and neuroscience.  In this talk, I'll explain what topology is, briefly go into the mathematics of persistent homology and Morse-filtrations, and discuss some applications in signal processing, clustering, and pattern recognition.  To ensure that everyone gets something out of the talk, pictures will be emphasized over formulas. </p> <p>[1] Quote from Gunnar Carlsson (one of the founders of TDA)</p> <p>About the Speaker: Hamza Ghadyali is a Ph.D. candidate in mathematics at Duke, developing new TDA tools, in particular for the analysis of EEG data from people with epilepsy.</p> "
Sports Analytics Kickoff,1/28/2016,43,"<p>Do you get excited using math with sports data? Did you learn analytics through sports? Want to share opportunities to use sports analytics to teach, for a hobby, for research, for a career?</p> <p>This is our kickoff meeting for this new subgroup. There will be a brief overview of sports analytics and then the floor will be open for discussion on future topics/speakers. Feel free to bring use cases for discussion.</p> "
Lunch,2/5/2016,10,"<p>Join us for our casual monthly get-together to talk about anything and everything related to interesting analytics challenges, statistical methods, our upcoming Analytics&gt;Forward unconference and what talk to pitch (mark the date: Sat, March 12, 2016) etc.</p> "
JMP User SIG - kickoff w/ food & spirits,2/9/2016,13,"<p>The meeting is a followup to the JMP User group meeting held at SAS Institute Jan 12.  In this series of monthly meetings, users of JMP can get assistance, or provide coaching to others. New or senior users will participate to create connections, be of assistance to those isolated, or can't attend the Quarterly JMP RTP User group meetings at SAS Institute. Laptops are welcome as we plan this year's monthly meetings. Schedule details will be established by participants.</p> <p>The location of Relish cafe:</p> <p><a href=""http://www.relishraleigh.com/#!contact/zoom/mainPage/cyq7""><a href=""http://www.relishraleigh.com/#!contact/zoom/mainPage/cyq7"" class=""linkified"">http://www.relishraleigh.com/#!contact/zoom/mainPage/cyq7</a></a></p> <p>Creedmoor Crossings Shopping Center (Corner of Creedmoor and Millbrook)  5625 Creedmoor Rd Raleigh, NC 27612</p> <p>Steve</p> "
"Opening the Black Box: A Users Guide to Optimization, with Melinda Thielbar",2/16/2016,89,"<p>Doors open at 6:30pm. Presentation starts at 7:00pm.</p> <p>Parking: Science Drive lot is closest. If you can't get into that lot, there is a garage with visitor parking at 135 Science Drive; Durham NC</p> <p>Map: <br/><a href=""http://www.fuqua.duke.edu/documents/programs/campus_map.pdf""><a href=""http://www.fuqua.duke.edu/documents/programs/campus_map.pdf"" class=""linkified"">http://www.fuqua.duke.edu/documents/programs/campus_map.pdf</a></a></p> <p>After Party:</p> <p>Tobacco Road Sports Cafe: 280 South Mangum Street #100, Durham, NC 27701</p> <p>Abstract: Statistical models, recommendation engines, data visualization, and artificial intelligence all have one thing in common: They use algorithms to find the best answer (or to rank potential answers so the user can pick one). Numerical optimization is at the heart of this process. Understanding how the computer finds its answers can help you get the most out of your data--no matter what analysis software you use. </p> <p>Intended as a user's guide to numerical algorithms, this talk will show the most common types of computer optimization, how and why they're used in different kinds of data analysis, and their underlying assumptions. Examples with visualizations will be shown in JMP software, but the concepts apply to any statistical or data visualization package.  </p> <p>Whether you're new to data analysis or writing your own optimization routines, this presentation will demonstrate a useful way to think about computer optimization that will open up the black box between ""data in"" and ""answers out"". </p> <p>About Melinda Thielbar, PhD, JMP Senior Research Statistician Developer, SAS</p> <p>Melinda Thielbar currently specializes in statistical methods for consumer research and categorical data, though she has experience as far ranging as naval power system analysis, fraud detection and Hollywood script consulting. Melinda is a Co-Founder of Research Triangle Analysts, a crazy cat lady, and a an enthusiastic amateur artist.</p> "
